age;intcal20_detrended
7075;1.74579
7080;1.949
7085;2.35269
7090;2.95685
7095;3.86148
7100;4.76659
7105;5.77218
7110;6.77824
7115;8.08478
7120;9.49181
7125;11.1993
7130;13.4073
7135;15.9158
7140;18.1247
7145;19.0341
7150;17.6441
7155;14.1545
7160;9.56536
7165;4.97674
7170;1.5886
7175;-0.399037
7180;-0.986187
7185;-0.572845
7190;0.440989
7195;1.95532
7200;3.77014
7205;5.78546
7210;7.80128
7215;9.81759
7220;11.4344
7225;12.7517
7230;13.5695
7235;13.7878
7240;13.5067
7245;12.626
7250;11.1458
7255;9.26614
7260;7.28698
7265;5.70833
7270;4.53018
7275;3.95255
7280;3.77542
7285;4.09881
7290;4.72271
7295;5.64712
7300;6.57205
7305;7.29749
7310;7.42345
7315;6.84993
7320;5.67692
7325;4.20444
7330;2.83247
7335;1.86103
7340;1.79011
7345;2.41972
7350;3.34985
7355;4.0805
7360;4.31168
7365;3.74339
7370;3.47563
7375;4.7084
7380;7.0417
7385;9.17553
7390;10.6099
7395;12.2448
7400;14.0802
7405;16.0162
7410;16.3527
7415;15.5897
7420;13.4273
7425;6.96544
7430;-0.395896
7435;-3.95669
7440;-2.91694
7445;-0.876649
7450;1.36419
7455;2.80557
7460;3.44751
7465;3.38999
7470;3.03302
7475;2.3766
7480;1.92073
7485;1.76541
7490;2.01065
7495;2.85645
7500;3.70279
7505;3.7497
7510;2.09716
7515;-0.754813
7520;-3.10623
7525;-3.35709
7530;-1.40738
7535;1.94289
7540;5.49372
7545;8.34512
7550;9.99709
7555;10.3496
7560;9.30272
7565;6.85639
7570;3.61064
7575;0.36545
7580;-1.97916
7585;-3.4232
7590;-3.76667
7595;-3.20955
7600;-2.35186
7605;-1.8936
7610;-2.43475
7615;-3.77532
7620;-4.91531
7625;-5.25472
7630;-4.59354
7635;-3.33178
7640;-1.76943
7645;-0.506499
7650;0.457024
7655;0.821136
7660;0.385839
7665;-0.748867
7670;-2.28298
7675;-4.1165
7680;-5.74942
7685;-7.08175
7690;-8.01348
7695;-8.54462
7700;-8.67515
7705;-8.50508
7710;-8.03441
7715;-7.36314
7720;-6.69127
7725;-6.01878
7730;-5.6457
7735;-5.372
7740;-5.2977
7745;-5.42279
7750;-5.54727
7755;-5.47113
7760;-4.89438
7765;-3.91702
7770;-2.83905
7775;-2.06045
7780;-1.78124
7785;-2.20141
7790;-3.42096
7795;-5.03989
7800;-5.9582
7805;-5.27588
7810;-3.19294
7815;-0.809375
7820;0.774818
7825;1.05964
7830;0.445089
7835;-0.56883
7840;-1.58212
7845;-2.19477
7850;-2.2068
7855;-1.61818
7860;-1.22893
7865;-1.93904
7870;-3.54852
7875;-5.15735
7880;-5.86555
7885;-5.2731
7890;-3.18001
7895;0.313728
7900;4.20811
7905;6.90314
7910;7.89881
7915;7.89514
7920;7.29212
7925;5.98974
7930;3.68802
7935;0.886959
7940;-1.31345
7945;-1.8132
7950;-1.0123
7955;-0.110738
7960;-0.208515
7965;-1.20563
7970;-2.50208
7975;-3.79787
7980;-4.293
7985;-4.08746
7990;-3.18125
7995;-1.87437
8000;-0.766825
